atomic_ea_minimo,atomic_ea_maximo,atomic_ea_soma,atomic_en_allen _soma,atomic_en_allen _desvio,atomic_en_allredroch_minimo,atomic_hatm_minimo,atomic_spacegroupnum_maximo,atomic_spacegroupnum_desvio,electrical_resist_maximo,mineral_hardness_maximo,van_der_waals_rad_minimo,vel_of_sound_minimo
10.0,141.0,354.7,3.61,1.263236853063896,1.06,152.0,225.0,66.36233256655066,86.0,5.5,150.0,0.0
7.6,141.0,351.8,3.61,1.263236853063896,1.11,249.0,229.0,69.46941773183363,60.0,7.0,150.0,317.5
7.6,141.0,310.7,3.61,1.345367566462373,1.11,249.0,229.0,74.70311610338324,60.0,7.0,150.0,317.5
7.6,141.0,301.2,3.61,1.345367566462373,1.11,249.0,229.0,71.58619513099808,60.0,6.0,150.0,317.5
0.0,141.0,439.2,6.516,1.182658680920051,1.23,131.0,229.0,64.9307323229917,144.0,8.5,150.0,317.5
0.0,141.0,284.7,3.61,1.345367566462373,1.56,131.0,229.0,76.13894462683922,144.0,8.5,150.0,317.5
0.0,141.0,333.0,3.61,1.345367566462373,1.56,131.0,229.0,77.99928774603579,144.0,8.5,150.0,317.5
0.0,141.0,439.2,5.223,1.294867056449252,1.47,249.0,229.0,73.60207406128205,144.0,8.5,150.0,317.5
0.0,141.0,451.4,3.61,1.345367566462373,1.56,249.0,229.0,79.4811298359554,144.0,8.5,150.0,317.5
0.0,141.0,499.4,4.903,1.268843551894273,1.23,131.0,229.0,70.95155001111387,12.7,8.5,150.0,317.5
0.0,141.0,442.7,4.903,1.268843551894273,1.23,131.0,225.0,68.6490631949994,40.0,6.0,150.0,317.5
0.0,141.0,515.1,4.903,1.268843551894273,1.23,146.0,229.0,72.83921348015892,12.7,8.5,150.0,317.5
0.0,141.0,332.4,3.61,1.345367566462373,1.6,131.0,229.0,75.7160264849303,144.0,6.0,150.0,317.5
0.0,141.0,365.6,6.516,1.305714491507747,1.23,131.0,225.0,73.76313442364011,6.0,5.0,150.0,317.5
0.0,141.0,396.7,3.61,1.345367566462373,1.56,249.0,229.0,77.99928774603578,144.0,8.5,150.0,317.5
0.0,141.0,450.8,4.903,1.268843551894273,1.23,146.0,229.0,71.96314249357806,144.0,6.0,150.0,317.5
0.0,141.0,450.8,3.61,1.345367566462373,1.6,249.0,229.0,77.63089304880857,144.0,6.0,150.0,317.5
0.0,141.0,450.8,4.903,1.268843551894273,1.23,131.0,229.0,70.95155001111387,10.0,5.0,150.0,317.5
0.0,141.0,499.4,4.903,1.268843551894273,1.23,146.0,229.0,71.96314249357806,144.0,8.5,150.0,317.5
10.0,141.0,271.7,3.61,1.444,1.08,249.0,194.0,72.8,74.0,5.5,150.0,317.5
