trial	mean_acc	n_ok_folds	n_fail_folds	params_json
132	0.46363636363636357	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 9, "model__random_type": "uniform", "model__treinador": "no_re"}
133	0.3727272727272727	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 10, "model__random_type": "normal", "model__treinador": "no_re"}
134	0.46363636363636357	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 10, "model__random_type": "uniform", "model__treinador": "no_re"}
135	0.3727272727272727	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 13, "model__random_type": "normal", "model__treinador": "no_re"}
136	0.46363636363636357	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 13, "model__random_type": "uniform", "model__treinador": "no_re"}
137	0.3727272727272727	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 17, "model__random_type": "normal", "model__treinador": "no_re"}
138	0.46363636363636357	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 17, "model__random_type": "uniform", "model__treinador": "no_re"}
139	0.3727272727272727	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 25, "model__random_type": "normal", "model__treinador": "no_re"}
140	0.46363636363636357	5	0	{"model__hidden_units": 3, "model__activation_function": "leaky_relu", "model__C": 25, "model__random_type": "uniform", "model__treinador": "no_re"}
141	0.618181818181818	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 0, "model__random_type": "normal", "model__treinador": "no_re"}
142	0.5727272727272726	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 0, "model__random_type": "uniform", "model__treinador": "no_re"}
143	0.618181818181818	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 1, "model__random_type": "normal", "model__treinador": "no_re"}
144	0.5727272727272726	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 1, "model__random_type": "uniform", "model__treinador": "no_re"}
145	0.618181818181818	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 2, "model__random_type": "normal", "model__treinador": "no_re"}
146	0.5727272727272726	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 2, "model__random_type": "uniform", "model__treinador": "no_re"}
147	0.618181818181818	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 3, "model__random_type": "normal", "model__treinador": "no_re"}
148	0.5727272727272726	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 3, "model__random_type": "uniform", "model__treinador": "no_re"}
149	0.618181818181818	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 4, "model__random_type": "normal", "model__treinador": "no_re"}
150	0.5727272727272726	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 4, "model__random_type": "uniform", "model__treinador": "no_re"}
151	0.618181818181818	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 5, "model__random_type": "normal", "model__treinador": "no_re"}
152	0.5727272727272726	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 5, "model__random_type": "uniform", "model__treinador": "no_re"}
153	0.618181818181818	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 6, "model__random_type": "normal", "model__treinador": "no_re"}
154	0.5727272727272726	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 6, "model__random_type": "uniform", "model__treinador": "no_re"}
155	0.618181818181818	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 7, "model__random_type": "normal", "model__treinador": "no_re"}
156	0.5727272727272726	5	0	{"model__hidden_units": 6, "model__activation_function": "sigmoid", "model__C": 7, "model__random_type": "uniform", "model__treinador": "no_re"}
